trip_id,driver_id,metro_num
194395,26,2
194396,118,2
194397,107,2
194398,5,2
194401,119,2
194402,107,2
194403,93,2
204847,89,2
205082,12,2
205101,56,2
205319,91,2
205352,52,2
205570,97,2
205642,17,2
205643,122,2
209278,106,2
211182,17,2
211183,20,2
211184,17,2
212606,27,2
212612,27,2
213429,66,2
213430,15,2
213434,87,2
213435,121,2
213436,94,2
217438,52,2
218177,44,2
218402,33,2
218410,113,2
220197,37,2
220207,37,2
220211,37,2
220603,77,2
221614,107,2
221617,20,2
221619,107,2
221890,80,2
225270,104,2
225368,98,2
226068,4,2
226072,85,2
226073,74,2
226075,74,2
226076,66,2
232189,29,2
232192,14,2
232194,47,2
232195,96,2
232196,28,2
232201,100,2
235527,121,2
235530,7,2
242332,78,2
242334,26,2
242335,118,2
242340,5,2
242342,118,2
242343,92,2
242345,39,2
242364,56,2
242370,67,2
242786,23,2
242879,23,2
242880,23,2
242912,117,2
242916,92,2
242917,44,2
242943,88,2
242945,51,2
242949,51,2
242975,99,2
243030,10,2
243031,37,2
243042,42,2
243463,12,2
243464,121,2
243467,12,2
245584,62,2
246103,117,2
247265,6,2
247311,75,2
252411,117,2
252426,95,2
253085,93,2
253089,104,2
253097,63,2
254448,102,2
256864,57,2
256873,114,2
258073,101,2
258322,3,2
260217,78,2
261296,118,2
261393,18,2
261396,5,2
261397,51,2
261401,26,2
261402,18,2
261403,38,2
261405,80,2
261596,98,2
261691,103,2
261693,9,2
261708,30,2
263938,84,2
264062,29,2
264070,29,2
264461,38,2
264468,41,2
266656,67,2
267161,41,2
268575,57,2
268626,42,2
268633,109,2
268661,13,2
270958,59,2
271828,32,2
271829,17,2
271830,20,2
271833,54,2
273713,55,2
273715,77,2
273717,55,2
273719,77,2
273757,52,2
273851,57,2
273852,42,2
273907,99,2
275853,46,2
275861,21,2
275863,46,2
275875,67,2
275881,72,2
275890,72,2
275902,46,2
275908,83,2
277735,77,2
279132,91,2
279304,76,2
279306,76,2
279319,11,2
281583,70,2
281601,60,2
281612,60,2
281621,60,2
281622,60,2
281788,45,2
281809,106,2
282352,37,2
282353,42,2
282355,70,2
282360,70,2
282391,77,2
283588,19,2
283772,80,2
283774,21,2
283790,80,2
283791,21,2
283814,72,2
284545,30,2
284547,16,2
284548,103,2
284555,103,2
285522,79,2
286638,114,2
287514,53,2
287806,19,2
288015,8,2
288290,42,2
288292,70,2
288293,70,2
288957,38,2
289001,99,2
291312,29,2
292438,104,2
292439,57,2
292440,57,2
292668,83,2
292669,93,2
292677,83,2
292683,21,2
293037,77,2
293659,18,2
293666,88,2
293667,51,2
293669,63,2
293672,109,2
293700,13,2
293708,75,2
294464,42,2
294473,42,2
295767,34,2
297416,63,2
297462,102,2
297465,102,2
297549,70,2
297678,64,2
298573,46,2
301598,101,2
304762,46,2
306291,55,2
308602,112,2
308798,10,2
309664,10,2
309673,116,2
309728,31,2
310545,81,2
310645,63,2
310656,83,2
310664,82,2
311593,65,2
312312,65,2
313026,59,2
315051,82,2
315071,73,2
315072,19,2
315075,89,2
315080,73,2
315619,27,2
315623,27,2
